id	name	description	description_numberOfWords	mainLanguagesPercentages	[language^linesOfCode;;...]	bugs'StartingDate	commits'StartingDate	PRs'StartingDate	bugComments'StartingDate	commitComments'StartingDate	PRComments'StartingDate	bugEvents'StartingDate	overalStartingDate
8514	rails/rails	ruby-on-rails	3	[ruby^98]	[ruby^10406330;;html^193539;;css^33470;;coffeescript^15966;;javascript^9031;;yacc^965]	2009-04-01T04:24:23.000Z	2004-11-24T01:04:44.000Z	2010-09-02T05:34:17.000Z	2009-04-16T23:00:57.000Z	2008-04-11T09:36:30.000Z	2010-09-09T06:44:25.000Z	2011-04-28T00:12:53.000Z	2004-11-24T01:04:44.000Z
3711416	rails/activeresource	activeresource business-objects rest web-services	8	[ruby^100]	[ruby^290276;;groff^156]	2012-04-11T22:58:02.000Z	2006-06-25T14:44:22.000Z	2012-03-14T14:19:01.000Z	2012-04-11T23:15:09.000Z	2012-03-21T02:09:59.000Z	2012-03-14T14:53:40.000Z	2012-04-11T22:58:02.000Z	2006-06-25T14:44:22.000Z
337788	rails/arel	arel relational-algebra	5	[ruby^100]	[ruby^307101;;html^1295]	2011-05-18T16:20:59.000Z	2007-12-30T19:35:44.000Z	2010-09-14T21:17:55.000Z	2011-05-19T04:43:12.000Z	2010-01-30T23:50:01.000Z	2010-09-29T22:12:10.000Z	2011-05-18T16:20:59.000Z	2007-12-30T19:35:44.000Z
32104924	rails/sprockets	rails-sprockets packaging system	6	[ruby^100]	[ruby^559265]	2015-03-12T22:16:52.000Z	2008-05-29T14:29:53.000Z	2015-03-12T22:08:22.000Z	2015-03-16T18:07:28.000Z	2015-03-23T17:11:38.000Z	2015-03-13T15:52:51.000Z	2015-03-12T22:16:52.000Z	2008-05-29T14:29:53.000Z
460078	angular/angular.js	html web	8	[javascript^98]	[javascript^6544322;;html^74791;;shell^20358;;postscript^19551;;php^7222;;css^3738]	2010-09-02T15:58:28.000Z	2010-01-06T00:36:58.000Z	2010-09-08T15:59:32.000Z	2010-09-21T16:39:06.000Z	2010-02-02T05:40:20.000Z	2010-09-14T21:16:28.000Z	2011-03-21T20:20:40.000Z	2010-01-06T00:36:58.000Z
1795951	rails/jquery-rails	jquery-rails gem using jquery	11	[ruby^100]	[ruby^10144]	2011-06-04T03:14:08.000Z	2010-08-16T19:31:38.000Z	2011-05-31T12:01:45.000Z	2011-06-04T03:37:38.000Z	2011-10-14T13:36:56.000Z	2011-06-01T01:14:05.000Z	2011-06-04T03:14:08.000Z	2010-08-16T19:31:38.000Z
1195004	angular/angular-seed	angular-seed seed project	8	[javascript^49;;html^49]	[javascript^5152;;html^5148;;css^306]	2011-04-06T20:23:45.000Z	2010-12-24T06:21:27.000Z	2011-05-20T19:57:00.000Z	2011-05-05T23:52:15.000Z	2012-01-21T22:26:58.000Z	2011-05-23T16:52:47.000Z	2011-04-06T20:23:45.000Z	2010-12-24T06:21:27.000Z
32104914	rails/execjs	execjs javascript ruby	8	[ruby^64;;javascript^36]	[ruby^36121;;javascript^20513]	2015-03-12T22:05:49.000Z	2011-02-06T20:22:40.000Z	2015-03-12T21:59:45.000Z	2015-04-29T16:02:05.000Z	2015-04-09T16:26:06.000Z	2015-03-13T13:44:24.000Z	2015-03-12T22:05:49.000Z	2011-02-06T20:22:40.000Z
1343653	angular/angularjs.org	 	7	[javascript^57;;html^30]	[javascript^108643;;html^56874;;apacheconf^11978;;css^10930;;php^2533]	2011-06-25T23:38:51.000Z	2011-02-08T21:09:44.000Z	2011-02-17T18:49:23.000Z	2011-06-25T23:39:20.000Z	2011-05-05T17:57:35.000Z	2011-05-27T05:26:03.000Z	2011-06-25T23:38:51.000Z	2011-02-08T21:09:44.000Z
1452079	angular/angular-phonecat	building	9	[javascript^55;;html^18;;shell^17]	[javascript^16064;;html^5398;;shell^5043;;css^2388;;batchfile^362]	2011-05-05T23:19:35.000Z	2011-03-06T04:19:40.000Z	2011-05-05T10:42:31.000Z	2011-05-06T15:01:15.000Z	2013-10-17T06:43:06.000Z	2011-09-21T18:14:30.000Z	2011-05-05T23:19:35.000Z	2011-03-06T04:19:40.000Z
1795273	rails/sass-rails	sass-rails ruby-on-rails stylesheet sass	8	[ruby^99]	[ruby^30354;;css^357]	2011-06-08T17:25:20.000Z	2011-05-24T21:46:54.000Z	2011-05-26T06:34:39.000Z	2011-06-08T18:08:34.000Z	2011-06-27T19:47:01.000Z	2011-05-31T10:26:20.000Z	2011-06-08T17:25:21.000Z	2011-05-24T21:46:54.000Z
2861056	rails/jbuilder	jbuilder jbuilder json dsl	11	[ruby^100]	[ruby^63078]	2011-12-09T12:48:41.000Z	2011-11-27T14:02:46.000Z	2011-11-30T18:38:00.000Z	2011-12-09T14:00:01.000Z	2012-07-11T19:17:19.000Z	2011-12-09T12:14:44.000Z	2011-12-09T12:48:41.000Z	2011-11-27T14:02:46.000Z
3710607	rails/strong_parameters	taint required actionpack enforcement activemodel	13	[ruby^98]	[ruby^38855;;logos^807]	2012-03-19T21:59:39.000Z	2012-03-13T19:49:03.000Z	2012-03-19T21:53:56.000Z	2012-03-19T22:33:08.000Z	2012-03-21T08:10:15.000Z	2012-03-20T19:45:45.000Z	2012-03-19T21:59:39.000Z	2012-03-13T19:49:03.000Z
1784628	rails/sprockets-rails	sprockets integration	6	[ruby^99]	[ruby^84645;;logos^874]	2012-04-27T19:56:58.000Z	2012-09-20T17:56:00.000Z	2012-03-22T08:31:05.000Z	2012-05-09T18:57:25.000Z	2012-10-18T04:56:16.000Z	2012-05-01T15:42:50.000Z	2012-04-27T19:56:58.000Z	2012-03-22T08:31:05.000Z
5674986	rails/protected_attributes	attributes mass-assignment activerecord models	10	[ruby^100]	[ruby^113578;;groff^314]	2012-11-02T01:31:50.000Z	2012-07-17T01:35:41.000Z	2012-09-24T21:09:03.000Z	2012-11-02T01:32:27.000Z	2012-09-18T22:15:11.000Z	2013-01-16T11:24:35.000Z	2012-11-02T01:32:27.000Z	2012-07-17T01:35:41.000Z
7362671	rails/spring	rails-spring preloader	5	[ruby^100]	[ruby^108403]	2012-12-29T07:22:54.000Z	2012-12-29T03:39:51.000Z	2013-01-01T17:16:30.000Z	2012-12-29T10:09:52.000Z	2013-01-12T13:45:26.000Z	2013-01-11T15:21:16.000Z	2012-12-29T12:21:01.000Z	2012-12-29T03:39:51.000Z
7639232	angular/protractor	protractor test-framework	8	[javascript^54;;typescript^39]	[javascript^350470;;typescript^256313;;html^33058;;css^4943;;shell^4795]	2013-05-30T00:29:16.000Z	2013-01-16T04:35:00.000Z	2013-04-24T21:41:45.000Z	2013-06-10T17:52:05.000Z	2013-07-12T03:41:01.000Z	2013-07-12T22:45:56.000Z	2013-05-30T03:03:20.000Z	2013-01-16T04:35:00.000Z
12496351	rails/web-console	web-console rails-console browser	7	[ruby^53;;html^32]	[ruby^71121;;html^43008;;javascript^19492;;css^546;;shell^435]	2013-09-09T16:44:21.000Z	2013-06-03T19:18:40.000Z	2013-09-20T12:54:41.000Z	2013-09-27T10:43:53.000Z	2013-09-26T15:50:50.000Z	2013-09-20T14:28:45.000Z	2013-09-20T13:25:02.000Z	2013-06-03T19:18:40.000Z
16757508	angular/dgeni-packages	packages documentation	14	[javascript^96]	[javascript^360353;;html^14943;;typescript^1756]	2014-02-20T15:25:01.000Z	2014-02-12T06:24:27.000Z	2014-02-20T08:04:34.000Z	2014-02-20T16:53:34.000Z	2014-06-01T06:51:13.000Z	2014-02-20T16:51:04.000Z	2014-02-20T23:53:49.000Z	2014-02-12T06:24:27.000Z
22991474	rails/globalid	identify models uri	9	[ruby^100]	[ruby^55256]	2014-08-16T19:32:38.000Z	2014-05-19T09:56:09.000Z	2014-08-16T18:17:41.000Z	2014-08-16T21:05:34.000Z	2014-08-26T09:39:18.000Z	2014-08-16T23:09:19.000Z	2014-08-16T19:32:56.000Z	2014-05-19T09:56:09.000Z
21399598	angular/material	angular-material material-design	5	[javascript^83]	[javascript^2278375;;css^257633;;html^189553;;shell^10354;;php^7211]	2014-07-01T19:30:31.000Z	2014-07-01T19:26:52.000Z	2014-07-02T18:11:05.000Z	2014-07-01T21:08:51.000Z	2014-07-10T12:35:11.000Z	2014-07-06T21:23:58.000Z	2014-07-01T19:31:07.000Z	2014-07-01T19:26:52.000Z
